DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
119,F,2030,2030,Cerro Navia 110,0,F,EtaMes,144.9411806,150.7493116,146.5864584,148.5171483,152.8550768,149.6022196,153.0914596,153.1276875,153.9271182,153.7747905,141.6612708,156.7093944
120,F,2031,*,Cerro Navia 110,0,F,EtaMes,145.4558508,151.313205,147.1248725,149.0156666,153.3681609,150.1159859,153.5386893,153.5876434,154.367384,156.3032133,144.0173538,159.3222375
121,F,2017,2017,Charrua 220,0,F,EtaMes,173.9680547,195.6707099,187.429324,182.122837,191.1312897,184.7414218,209.9503989,194.4799379,205.4347825,194.0238646,199.9612281,207.4929938
122,F,2018,2018,Charrua 220,0,F,EtaMes,181.7734318,204.633528,196.0456426,190.5238675,200.0051454,193.2520016,219.5007869,203.4309422,214.8496642,199.2977835,205.2137946,213.0268998
123,F,2019,2019,Charrua 220,0,F,EtaMes,185.5003661,208.7982826,200.0361647,194.4134331,204.0768084,197.1926436,224.0341576,207.5969528,219.2744953,203.067299,209.1128337,217.0840598
124,F,2020,2020,Charrua 220,0,F,EtaMes,189.0016554,212.7519459,203.8212001,198.1085708,207.9453641,200.9216007,228.2904985,211.5324219,223.4415789,206.9144379,213.0970507,221.2298349
125,F,2021,2021,Charrua 220,0,F,EtaMes,192.5724604,216.7897645,207.6848353,201.883141,211.8968901,204.7288077,232.6408885,215.5505057,227.6981656,209.4672397,215.739858,223.991558
126,F,2022,2022,Charrua 220,0,F,EtaMes,194.9440305,219.4629692,210.2468382,204.3898007,214.5101616,207.2434165,235.517739,218.2166147,230.5280703,213.0310092,219.439687,227.8429306
127,F,2023,2023,Charrua 220,0,F,EtaMes,198.2474515,223.2058748,213.8262917,207.8953924,218.1777476,210.773269,239.5600114,221.944603,234.4808738,215.8723828,222.3923406,230.9219669
128,F,2024,2024,Charrua 220,0,F,EtaMes,200.8787558,226.18491,216.6768495,210.6924959,221.0975353,213.5801965,242.7803361,224.9180607,237.6373189,221.3515609,228.0657982,236.8274373
129,F,2025,2025,Charrua 220,0,F,EtaMes,205.9643356,231.9320218,222.1768933,216.0653385,226.7200736,218.9964818,248.9703209,230.639648,243.7007687,227.827839,234.7652776,243.8026853
130,F,2026,2026,Charrua 220,0,F,EtaMes,211.9806078,238.7228688,228.6776054,222.4099247,233.3595752,225.3939982,256.275945,237.3999111,250.8657284,234.2113522,241.3732614,250.6835583
131,F,2027,2027,Charrua 220,0,F,EtaMes,217.9094866,245.4194201,235.0860389,228.6662375,239.9063259,231.7001011,263.4817182,244.065122,257.9334639,239.7898741,247.1499695,256.7051344
132,F,2028,2028,Charrua 220,0,F,EtaMes,223.0905118,251.2683798,240.6845022,234.1349965,245.6229575,237.2034997,269.7750994,249.8907968,264.1161924,245.6023555,253.1708621,262.9799307
133,F,2029,2029,Charrua 220,0,F,EtaMes,228.4870933,257.3625253,246.5168874,239.8336559,251.580582,242.9383242,276.3349114,255.961794,270.5595556,245.0905799,252.6857488,262.5141667
